Country,date,coicop,value,diff
AT,May-22,Clothing and footwear,-0.0078127919718429,-1.030656379038033
AT,May-22,Food and non-alcoholic beverages,0.3183427436144645,-1.030656379038033
AT,May-22,Housing (rentals and repairs),-0.0972279522818254,-1.030656379038033
AT,May-22,Other,-0.4416162242844743,-1.030656379038033
AT,May-22,Transport,-1.41701394502305,-1.030656379038033
AT,May-22,"Water, electricity, gas and other fuels",0.5722072465342294,-1.030656379038033
AT,Jun-22,"Alcoholic beverages, tobacco and narcotics",0.040480126265723,-0.8245856321178495
AT,Jun-22,Clothing and footwear,0.0054424400275018,-0.8245856321178495
AT,Jun-22,Food and non-alcoholic beverages,0.3974871184622643,-0.8245856321178495
AT,Jun-22,Housing (rentals and repairs),0.0171916876903587,-0.8245856321178495
AT,Jun-22,Other,-0.2865069689887589,-0.8245856321178495
AT,Jun-22,Transport,-1.61149185664898,-0.8245856321178495
AT,Jun-22,"Water, electricity, gas and other fuels",0.6128118210740461,-0.8245856321178495
AT,Jul-22,"Alcoholic beverages, tobacco and narcotics",0.0380098016837845,-0.7769887465184837
AT,Jul-22,Clothing and footwear,0.0107035461168548,-0.7769887465184837
AT,Jul-22,Food and non-alcoholic beverages,0.4289254546404542,-0.7769887465184837
AT,Jul-22,Housing (rentals and repairs),0.1421179316966374,-0.7769887465184837
AT,Jul-22,Other,-0.5571459201021367,-0.7769887465184837
AT,Jul-22,Transport,-1.643830584891085,-0.7769887465184837
AT,Jul-22,"Water, electricity, gas and other fuels",0.8042310243370068,-0.7769887465184837
AT,Aug-22,"Alcoholic beverages, tobacco and narcotics",0.0390424887217321,-0.4516237543557047
AT,Aug-22,Clothing and footwear,-0.008745549088074,-0.4516237543557047
AT,Aug-22,Food and non-alcoholic beverages,0.4643365618292546,-0.4516237543557047
AT,Aug-22,Housing (rentals and repairs),0.2019993576515501,-0.4516237543557047
AT,Aug-22,Other,-0.6068120283003867,-0.4516237543557047
AT,Aug-22,Transport,-1.386273308420943,-0.4516237543557047
AT,Aug-22,"Water, electricity, gas and other fuels",0.8448287232511634,-0.4516237543557047
AT,Sep-22,"Alcoholic beverages, tobacco and narcotics",0.0395795669194039,0.4262040748437119
AT,Sep-22,Clothing and footwear,0.0093430497132529,0.4262040748437119
AT,Sep-22,Food and non-alcoholic beverages,0.4912166821727911,0.4262040748437119
AT,Sep-22,Housing (rentals and repairs),0.3035203940864468,0.4262040748437119
AT,Sep-22,Other,-0.4914049530880653,0.4262040748437119
AT,Sep-22,Transport,-1.42105084682435,0.4262040748437119
AT,Sep-22,"Water, electricity, gas and other fuels",1.495000181864234,0.4262040748437119
AT,Oct-22,"Alcoholic beverages, tobacco and narcotics",0.0383674899182837,0.3325445451113698
AT,Oct-22,Clothing and footwear,-0.0600924761468602,0.3325445451113698
AT,Oct-22,Food and non-alcoholic beverages,0.5062892382315591,0.3325445451113698
AT,Oct-22,Housing (rentals and repairs),0.4008807501049598,0.3325445451113698
AT,Oct-22,Other,-0.577915423411347,0.3325445451113698
AT,Oct-22,Transport,-1.368068967500093,0.3325445451113698
AT,Oct-22,"Water, electricity, gas and other fuels",1.39308393391487,0.3325445451113698
AT,Nov-22,"Alcoholic beverages, tobacco and narcotics",0.0366321964022964,0.6618032033449364
AT,Nov-22,Clothing and footwear,-0.0777830279175293,0.6618032033449364
AT,Nov-22,Food and non-alcoholic beverages,0.5420730528509449,0.6618032033449364
AT,Nov-22,Housing (rentals and repairs),0.493037244381962,0.6618032033449364
AT,Nov-22,Other,-0.4254337756241516,0.6618032033449364
AT,Nov-22,Transport,-1.213344038793918,0.6618032033449364
AT,Nov-22,"Water, electricity, gas and other fuels",1.306621552045329,0.6618032033449364
AT,Dec-22,"Alcoholic beverages, tobacco and narcotics",0.0334070992420422,0.6163265259716315
AT,Dec-22,Clothing and footwear,-0.0819713611202709,0.6163265259716315
AT,Dec-22,Food and non-alcoholic beverages,0.5673410930201572,0.6163265259716315
AT,Dec-22,Housing (rentals and repairs),0.5932900597906334,0.6163265259716315
AT,Dec-22,Other,-0.4197933272619031,0.6163265259716315
AT,Dec-22,Transport,-0.9836418162753784,0.6163265259716315
AT,Dec-22,"Water, electricity, gas and other fuels",0.907694778576359,0.6163265259716315
AT,Jan-23,"Alcoholic beverages, tobacco and narcotics",0.0342333102209171,0.991468807087374
AT,Jan-23,Clothing and footwear,-0.0978127453817723,0.991468807087374
AT,Jan-23,Food and non-alcoholic beverages,0.5947001388160001,0.991468807087374
AT,Jan-23,Housing (rentals and repairs),0.6659030102001111,0.991468807087374
AT,Jan-23,Other,-0.4962855082055401,0.991468807087374
AT,Jan-23,Transport,-0.9621419276175756,0.991468807087374
AT,Jan-23,"Water, electricity, gas and other fuels",1.252872529055233,0.991468807087374
AT,Feb-23,"Alcoholic beverages, tobacco and narcotics",0.0261814502451757,0.7594473677780886
AT,Feb-23,Clothing and footwear,-0.0973836490255159,0.7594473677780886
AT,Feb-23,Food and non-alcoholic beverages,0.5682999310496492,0.7594473677780886
AT,Feb-23,Housing (rentals and repairs),0.7073650167133283,0.7594473677780886
AT,Feb-23,Other,-0.5140942926818756,0.7594473677780886
AT,Feb-23,Transport,-0.8760688602212173,0.7594473677780886
AT,Feb-23,"Water, electricity, gas and other fuels",0.9451477716985444,0.7594473677780886
AT,Mar-23,"Alcoholic beverages, tobacco and narcotics",0.0470412430674408,0.946221401187632
AT,Mar-23,Clothing and footwear,-0.1146222114033944,0.946221401187632
AT,Mar-23,Food and non-alcoholic beverages,0.5067098966673297,0.946221401187632
AT,Mar-23,Housing (rentals and repairs),0.7338924796939088,0.946221401187632
AT,Mar-23,Other,-0.4747958140621616,0.946221401187632
AT,Mar-23,Transport,-0.4931185345114335,0.946221401187632
AT,Mar-23,"Water, electricity, gas and other fuels",0.7411143417359416,0.946221401187632
AT,Apr-23,"Alcoholic beverages, tobacco and narcotics",0.0586356883107408,-0.1418521360194749
AT,Apr-23,Clothing and footwear,-0.0870395615694333,-0.1418521360194749
AT,Apr-23,Food and non-alcoholic beverages,0.4665431611678975,-0.1418521360194749
